date,open,high,low,close,volume,ha_close,ha_open,ha_high,ha_low,VolumeMA,supertrend,supertrend_trend,final_lower,final_upper,KC1_lower,KC1_middle,KC1_upper,KC2_lower,KC2_middle,KC2_upper
2026-01-12T09:00:00.000000000,139600.0,141250.0,139600.0,140793.0,216.0,140310.75,140196.5,141250.0,139600.0,,,,,,,,,,,
2026-01-12T09:01:00.000000000,140801.0,140848.0,140700.0,140800.0,153.0,140787.25,140253.62,140848.0,140253.62,,,,,,,,,,,
2026-01-12T09:02:00.000000000,140795.0,140861.0,140795.0,140813.0,110.0,140816.0,140520.44,140861.0,140520.44,,,,,,,,,,,
2026-01-12T09:03:00.000000000,140800.0,140869.0,140800.0,140861.0,110.0,140832.5,140668.22,140869.0,140668.22,,,,,,,,,,,
2026-01-12T09:04:00.000000000,140871.0,140888.0,140800.0,140800.0,78.0,140839.75,140750.36,140888.0,140750.36,,,,,,,,,,,
2026-01-12T09:05:00.000000000,140861.0,140898.0,140812.0,140833.0,80.0,140851.0,140795.05,140898.0,140795.05,,,,,,,,,,,
2026-01-12T09:06:00.000000000,140870.0,140888.0,140841.0,140857.0,47.0,140864.0,140823.03,140888.0,140823.03,,,,,,,,,,,
2026-01-12T09:07:00.000000000,140857.0,140877.0,140805.0,140852.0,72.0,140847.75,140843.51,140877.0,140805.0,,,,,,,,,,,
2026-01-12T09:08:00.000000000,140852.0,140860.0,140801.0,140828.0,68.0,140835.25,140845.63,140860.0,140801.0,,,,,,,,,,,
2026-01-12T09:09:00.000000000,140816.0,140838.0,140765.0,140805.0,70.0,140806.0,140840.44,140840.44,140765.0,,139483.63,,139483.63,,,,,,,
2026-01-12T09:10:00.000000000,140805.0,140844.0,140783.0,140815.0,49.0,140811.75,140823.22,140844.0,140783.0,,139601.92,1.0,139601.92,,,,,,,
2026-01-12T09:11:00.000000000,140814.0,140814.0,140750.0,140782.0,37.0,140790.0,140817.49,140817.49,140750.0,,139666.33,1.0,139666.33,,,,,,,
2026-01-12T09:12:00.000000000,140780.0,140800.0,140750.0,140750.0,27.0,140770.0,140803.74,140803.74,140750.0,,139749.7,1.0,139749.7,,,,,,,
2026-01-12T09:13:00.000000000,140750.0,140760.0,140700.0,140700.0,46.0,140727.5,140786.87,140786.87,140700.0,,139784.23,1.0,139784.23,,,,,,,
